a	于
mudi	的
mui	多
muko	黏
mumi	蠟
mun	門
mundo	世
muravi	蟻
muro	墻
musele	肌
musika	曲
muso	鼠
muta	改
nafasa	息
naga	蛇
naje	泳
najima	士
name	字
nami	浪
naro	窄
nase	鼻
nata	酥
nati	誕
natura	野
navi	舟
navu	預
nea	鄰
nebu	霧
neka	頸
nese	需
neso	性
neto	網
neve	雪
ni	絕
nida	巢
niku	肉
nin	九
ninja	偵
nise	嚏
no	否
noga	腿
nonga	農
nore	北
note	寫
nu	新
nube	雲
nudelo	麵
nudi	裸
nuga	擦
nuki	核
nulo	無
numa	數
nun	今
nuta	平
o	之
obe	從
odi	仇
ofensa	罪
ofera	祭
ofisi	官
oko	眼
ole	油
onion	蔥
onore	榮
open	開
opitala	醫
ora	鐘
oranje	橙
orijen	源
osila	擺
oso	骨
osura	影
ota	他
otelo	棧
otono	秋
oven	爐
ovi	羊
ovo	蛋
padon	諒
paga	付
paisa	國
paketa	包
pale	談
pan	饃
panta	褲
pape	紙
papilon	蝶
para	停
parada	列
paren	親
pari	賭
parija	烤
pasa	過
pase	和
paso	步
patata	薯
patio	庭
pato	禽
pausa	斷
pedi	腳
pele	皮
pelo	髮
pen	筆
pende	懸
penelo	刷
pensa	思
penta	五
pepa	椒
peribadi	私
pero	非
peso	片
pianeta	惑
piano	琴
piato	碟
piega	折
pigi	豬
pigu	尻
pika	扎
pila	黃
pile	丸
pilo	枕
pin	針
pinta	繪
pipi	尿
pirami	陵
pirata	寇
piron	叉
pisi	魚
pisina	池
piti	憫
piuma	羽
poesi	詩
poke	囊
polisa	督
politi	政
polo	雞
poma	蘋
pone	置
ponte	橋
popula	眾
pota	輸
pote	鍋
poten	力
pove	貧
pubili	印
puja	拜
puko	刀
pulasi	塑
pumpa	泵
puni	罰
punjo	拳
punto	點
pupe	偶
pura	純
puse	推
radi	徑
radika	根
raja	王
raka	架
rama	肢
rampa	坡
rana	蛙
randon	隨
ranko	序
rano	早
rapi	速
raro	罕
rasa	族
raso	刮
rason	因
ratio	率
reaki	答
rebele	叛
redi	備
refere	典
regen	雨
regula	規
reka	右
rela	軌
relate	聯
relijon	宗
remo	槳
rena	腎
renta	租
reo	流
repare	修
repubika	公
resi	休
retili	爬
retorante	館
revela	露
rika	富
rima	韻
ringo	環
risa	笑
risiti	取
riso	稻
rite	儀
riva	河
roba	裙
robare	盜
roboto	傀
roden	狸
roga	問
roka	石
roketa	箭
rompe	碎
rondo	圈
ronko	鼾
ropa	衣
rosa	櫻
ruina	毀
ruja	紅
rumora	謠
runguma	抱
rusa	鹿
ruse	詭
ruto	嗝
saara	漠
sadi	鄙
safari	旅
saga	敘
saje	慧
sake	酒
sako	袋
saliva	唾
salo	鹽
salon	廳
salu	禮
sama	如
san	三
sando	餅
sange	血
sano	康
santi	聖
sapato	鞋
sava	救
savaje	蠻
savi	知
savon	皂
se	若
seda	綢
sede	坐
sekeleton	框
seketa	秘
seko	乾
sekola	校
sekon	秒
sekura	安
sela	胞
selo	天
semana	周
semen	籽
semi	半
sena	幕
sende	傳
seni	芸
senjore	君
senta	中
sentense	句
senti	感
sento	百
sera	關
sereale	麥
serebe	腦
seri	排
serio	專
sesi	媾
sete	渴
seven	七
severe	嚴
si	其
sibi	娣
sibila	呲
siensa	科
sigaro	茄
sige	續
silaba	嘀
silara	銀
silen	靜
sili	愚
sina	軀
sinda	燼
sinifi	涵
sino	符
sinti	爍
siren	鈴
sisora	剪
sita	六
sitema	系
siti	城
sivi	民
so	斯
sofa	榻
sofio	吹
soke	襪
sole	陽
soli	泥
solidi	固
solo	獨
solu	解
soma	夏
some	些
sonjo	夢
sono	聲
sonri	靨
sori	歉
sosia	社
su	甚
suave	柔
subita	突
sude	南
sue	紉
sufi	盈
suga	糖
sujesi	諫
sujo	污
suko	吮
suma	總
sumete	屈
sun	即
supa	上
supe	湯
superise	驚
suponji	絡
supose	猜
sure	確
susura	喃
taba	板
tabu	禁
tadi	遲
talon	踵
tambo	鼓
tamen	雖
tami	篩
tape	毯
tari	史
tarifa	稅
tavan	頂
tea	茶
teata	劇
teke	羚
teki	術
tela	布
tema	題
tempo	時
ten	十
tenden	傾
teni	握
tensa	緊
tenta	試
teoria	論
tera	土
terapi	痊
tese	織
teta	胸
tie	叔
tila	至
timi	羞
tin	錫
tingi	高
tinta	墨
tipi	棚
tipo	類
tira	拉
tivi	呈
tobako	菸
toilete	廁
tolera	忍
toma	拿
tonere	雷
topi	帽
tore	塔
tori	鳥
tose	吠
toti	龜
tovari	侶
tu	你
tubo	管
tufan	嵐
tuju	恆
tumba	墓
tumo	瘤
tupe	啞
u	或
uben	練
ubuntu	慈
udan	蝦
ujana	少
uka	鉤
ulu	鸮
umile	謙
unda	下
undon	健
ungu	爪
univesa	寰
uno	一
utero	宮
uti	具
vaga	遊
vagen	乘
vakansa	假
vakili	代
vaku	空
vali	谷
valu	財
vanila	蘭
vanita	傲
vapo	汽
vare	貨
vari	變
vasa	水
vasanta	春
ve	哪
veji	蔬
veka	醒
vela	帆
ven	辰
vende	賣
vendeta	报
venemo	毒
venera	尊
veni	來
ventana	窗
vento	風
vepon	兵
vere	真
vese	西
veta	候
via	穿
vibe	晃
video	像
vila	村
vile	當
vina	疚
vinge	翼
vino	醴
vinta	冬
viola	弦
violensa	暴
vipi	鞭
viro	男
viru	疫
visita	訪
viva	命
voka	喚
vola	飛
vole	欲
vomi	嘔
vori	憂
vote	選
vudu	咒
vuma	蠕
vunda	幻
,	，
.	。
?	？
!	！
:	：
;	；
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
